Name,URL,Cuisines,Area,Timing,Full_Address,PhoneNumber,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost
Jyoti Vihar,https://www.zomato.com/kolkata/jyoti-vihar-camac-street-area,South Indian,"Camac Street Area, Kolkata",Opens tomorrow at 10am,"3A/1, Ho Chi Minh Sarani, Camac Street Area, Kolkata",9.19748E+11,1,1,1,1,4.4,930,4.1,5498,South Indian Delicacies,"Milk Upma, Jyoti Vihar, Vada Sambar, Filtered Coffee, Curd Rice, Idli","South Indian Food, Good Crowd, Excellent Place, Fast Service, Great Recommendations, Quick Service",300
WOW! Momo,https://www.zomato.com/kolkata/wow-momo-park-street-area,"Momos, Fast Food, Tibetan","Park Street Area, Kolkata",9am – 3am (Today),"57, Park Street, Beside Vodafone Store, Park Street Area, Kolkata",9.17604E+11,1,1,1,0,4,469,4.1,11100,,"Tandoori Paneer Momos, Momo Platter, Chocolate Momo, Chicken Cheese Momo, Green Apple Mojito, Pan Fried Momos","Comfortable Seating Area, Staff Service, Family Place, Fancy Crowd, Customer Service, Friendly Staff",350
Zam Zam,https://www.zomato.com/kolkata/zam-zam-park-circus-area,"Biryani, Rolls","Park Circus Area, Kolkata",Opens at 12noon,"28/A, Syed Amir Ali Avenue, Park Circus Area, Kolkata",9.19749E+11,1,1,1,0,4.4,1901,4.3,83100,,"Beef Malai, Beef Bhuna, Hariyali Chicken, Sahi Tukra, Mutton Rezala, Special Mutton Biryani","Ordering Process, Gastronomical Experience, Comfortable Seating Area, Relaxed Atmosphere, Good Delivery, Fancy Crowd",500
Daily Bhoj,https://www.zomato.com/kolkata/daily-bhoj-topsia,Bengali,"Topsia, Kolkata",,"139/1G, Tljala Road, Topsia, Kolkata",9.19331E+11,1,0,0,0,-,0,3.9,2260,,,"Great Portions, Worth the Money, Timely Service, Delicious Food, Good Food",150
Behnam,https://www.zomato.com/kolkata/behnam-topsia,"Biryani, North Indian, Mughlai, Rolls, Kebab, Awadhi, Lucknowi","Topsia, Kolkata",Opens at 11am,"139/1G, Tiljala Road, Near OYO Townhouse 229, Topsia, Kolkata",9.19331E+11,1,1,0,0,-,0,2.9,151,,,"Worth the Money, Timely Service, Great Portions, Delicious Food",200
Dilnawaz Biryani Centre,https://www.zomato.com/kolkata/dilnawaz-biryani-centre-tollygunge,"Biryani, Mughlai","Tollygunge, Kolkata",Opens at 12noon,"28, Deshpran Shasmal Road, Ward 81 BR X, Near Charu Market Thana, Tollygunge, Kolkata",9.18283E+11,1,1,0,0,4,506,4,42500,,,"Comfort Food, Cute Little Place, Inexpensive, Low Price, Great Recommendations, Excellent Taste",200
Aminia,https://www.zomato.com/kolkata/aminia-new-market-area,"Biryani, Mughlai, North Indian, Rolls, Kebab","New Market Area, Kolkata",Opens at 11:32am,"6A, S.N. Banerjee Road, New Market Area, Kolkata",9.13323E+11,1,1,1,0,3.5,3271,3.9,1112,,"Rice Pudding, Mutton Galouti Kabab, Bhuna Chicken, Chicken Rezala, Mughlai Food, Firni","Gastronomical Experience, Good for Large Groups, Privacy, Ample Seating Area, Fancy Crowd, Prime Location",700
Haka,https://www.zomato.com/kolkata/haka-ballygunge,"Chinese, Momos, Desserts, Beverages","Ballygunge, Kolkata",,"3A, Uniworth House, Gurusaday Road, Ballygunge, Kolkata",9.19331E+11,1,0,0,0,-,0,4.4,712,,"Chicken Suimai, Crispy Chilli Baby Corn, Dumplings, Chinese Food, Fish","Cute Packaging, Proper Packaging, Food Presentation, Worth the Money, Great Portions, Timely Service",300
Arsalan,https://www.zomato.com/kolkata/arsalan-park-street-area,"Biryani, North Indian, Kebab, Bengali","Park Street Area, Kolkata",,"119A, Muzaffar Ahmed Street, Park Street Area, Kolkata",9.19007E+11,1,1,1,0,4.1,1367,4.2,9638,Biryani and Tandoor!,"Chicken Boneless Masala, Mutton Haleem, Special Mutton Biryani, Stew, Mughlai Food, Reshmi Kabab","Cost Worthy, Gastronomical Experience, Ample Seating Area, Authenticity, Affordable, Good Value",600
Domino's Pizza,https://www.zomato.com/kolkata/dominos-pizza-2-park-street-area,"Pizza, Fast Food, Beverages, Desserts","Park Street Area, Kolkata",10am – 2:57am (Today),"31, Ward 63, Chowringhee Road, Shakespeare Sarani, Park Street Area, Kolkata",9.1334E+11,1,1,1,0,3.7,133,4.1,3931,,,"Student Crowd, Good Music, Elaborate Menu, Customizable Food, Young Crowd, Preparation",400
