Name,URL,Cuisines,Area,Timing,Full_Address,PhoneNumber,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost,latitudes,longitudes
Octa,https://www.zomato.com/kolkata/octa-park-street-area,"Asian, Korean, Japanese, Beverages","Park Street Area, Kolkata",Opens at 12noon,"20 G, 5th Floor, Park Street Area, Kolkata",917439000000,1,0,1,0,3.9,238,4,17,,"Sushi, Dimsums, Cocktails, Drinks","Sanitised Service, Cooperative Staff, Weekend Brunch, Good Music, Ambience was Super Cool, Hookah",1400,52.0855618,-0.7272059
Chinese Food Corner,https://www.zomato.com/kolkata/chinese-food-corner-lake-gardens,"Chinese, Seafood, Fast Food","Lake Gardens, Kolkata",Opens at 12noon,"87, Charu Chandra Place East, Near Lake Garden Railway Station, Lake Gardens, Kolkata",919124000000,1,1,0,0,-,0,-,11,,,,150,22.5080547,88.3533289
CraftCoffee@Trincas,https://www.zomato.com/kolkata/craftcoffee@trincas-park-street-area,"Cafe, Fast Food, Desserts, Coffee, Beverages","Park Street Area, Kolkata",Opens at 12noon,"17, Park Street Area, Kolkata",919990000000,1,1,1,0,3.6,13,-,2,,,,700,52.0855618,-0.7272059
Bowlout,https://www.zomato.com/kolkata/bowlout-topsia,"Mexican, Italian, Oriental, American, Arabian, Healthy Food","Topsia, Kolkata",,"139/1G, Tiljala Road, Ward 065, Municipal Corporation, Topsia, Kolkata",919331000000,1,0,0,0,-,0,3.3,129,,,"Food Tastes Great, Tamper Proof Packaging, Fresh Food with Good Quality, Delicious Taste, Best Food under Best Budget, Great Portions",200,22.5418017,88.3869552
Kapoor Pind Dhabaa,https://www.zomato.com/kolkata/kapoor-pind-dhabaa-paddapukur,"North Indian, Chinese","Paddapukur, Kolkata",,"32/1A, Chakraberia Road South, Paddapukur, Kolkata",918241000000,1,0,0,0,-,0,3.7,400,,,"Combos, Extensive Menu, Portions, Worth the Money, Delicious Food, Prices",150,22.50502445,88.30295777651463
The Yummy Eat's,https://www.zomato.com/kolkata/the-yummy-eats-kasba,"North Indian, Chinese, Fast Food","Kasba, Kolkata",,"171/C/1, Kasba, Kolkata",918240000000,1,0,0,0,-,0,4,31,,,,200,22.5044355,88.3721663
Band Baaja Biryani,https://www.zomato.com/kolkata/band-baaja-biryani-hindustan-park,"Biryani, North Indian, Beverages, Desserts","Hindustan Park, Kolkata",,"19/1A, Biplabi Ambika Chakraborty Sarani, Ward-086, Borough-VIII, Hindustan Park, Kolkata",919331000000,1,0,0,0,-,0,3.2,46,,,,200,22.5177017,88.3632073
Wok It up,https://www.zomato.com/kolkata/wok-it-up-hindustan-park,"Chinese, Asian, Desserts","Hindustan Park, Kolkata",,"19/1A, Biplabi Ambika Chakraborty Sarani, Ward-086, Borough-VIII, Hindustan Park, Kolkata",917440000000,1,0,0,0,-,0,4,39,,,,200,22.5177017,88.3632073
Junk-y Monk-y,https://www.zomato.com/kolkata/junk-y-monk-y-kalighat,"Chinese, Momos, Seafood, Thai","Kalighat, Kolkata",Opens at 11am,"8 E, Chandra Mondal Lane, Plot 8, Mudiyali, Kalighat, Kolkata",919832000000,1,1,0,0,-,0,3.9,152,,,"Delicious Taste, Extensive Menu, Worth the Money, Great Portions, Timely Service, Delicious Food",200,22.5153313,88.3477052
Raj Tea Stall,https://www.zomato.com/kolkata/raj-tea-stall-kasba,"North Indian, Fast Food, Beverages","Kasba, Kolkata",,"1, Raja S. C, Mallick Road, Jadavpur, Borough-X, Kasba, Kolkata",917980000000,1,0,0,0,-,0,4,247,,,,100,22.5044355,88.3721663
Kolkata Pantry,https://www.zomato.com/kolkata/kolkata-pantry-ballygunge,"Chinese, Fast Food, North Indian, Bengali, Beverages, Momos","Ballygunge, Kolkata",Opens at 11am,"13/5, Anil Maitra Road, Near Patha Bhavan Montessori, Ballygunge, Kolkata",919331000000,1,1,0,0,3.2,8,4,31,,,,500,22.5280337,88.3659084
Chana Zor Garam,https://www.zomato.com/kolkata/chana-zor-garam-ballygunge,"Street Food, Fast Food","Ballygunge, Kolkata",Opens at 11am,"1, 3rd Floor, Sunny Park, Kol 19, Ballygunge, Kolkata",919331000000,1,1,0,0,-,0,-,18,,,,250,22.5280337,88.3659084
Youthappam,https://www.zomato.com/kolkata/youthappam-elgin,South Indian,"Elgin, Kolkata",Opens at 8am,"34 A, Rammohan Dutta Road, Elgin, Kolkata",917004000000,1,1,0,0,-,0,3.4,18,,,,100,22.537374800000002,88.34756170104649
Sagar food ,https://www.zomato.com/kolkata/sagar-food-hatibagan,"Mughlai, Chinese","Hatibagan, Kolkata",Opens at 11am,"76/2B, Bidhan sarani, kolkata, Hatibagan, Kolkata",918240000000,1,1,1,0,-,0,-,2,,,,300,22.5949572,88.3709282
Gupta Sweets,https://www.zomato.com/kolkata/gupta-sweets-maniktala,"Mishti, Street Food","Maniktala, Kolkata",Opens at 8am,"76A, Raja Ram Mohan Sarani, Maniktala, Kolkata",918241000000,1,1,1,1,-,2,4,68,,,,200,22.5880896,88.3852834
Pizzas by SAZ,https://www.zomato.com/kolkata/pizzas-by-saz-theatre-road,"Pizza, Fast Food","Theatre Road, Kolkata",Opens at 12noon,"6, 9th Floor, Abanindra Nath Thakur Sarani, Theatre Road, Kolkata",919675000000,1,1,0,0,-,0,-,1,,,,550,22.5442409,88.3592663
Kitchen Plaza,https://www.zomato.com/kolkata/kitchen-plaza-kasba,"North Indian, Bengali, Biryani, Chinese","Kasba, Kolkata",,"P-58, Purbapally Road, Haltu, Kasba, Kolkata",918778000000,1,0,0,0,-,0,3,101,,,,100,22.5044355,88.3721663
Him Cream,https://www.zomato.com/kolkata/him-cream-girish-park,"Desserts, Ice Cream, Beverages, Shake","Girish Park, Kolkata",Opens at 11am,"53, Vivekananda Road, Girish Park, Kolkata",918617000000,1,1,1,0,3.7,7,-,7,,,,300,22.5871445,88.3629415
Food Break,https://www.zomato.com/kolkata/food-break-gariahat,"North Indian, Chinese, Rolls, Bengali","Gariahat, Kolkata",,"1/17, Dover Place, Gariahat, Kolkata",919836000000,1,0,0,0,-,0,-,1,,,,100,22.5196384,88.3656241
The Pie Chart,https://www.zomato.com/kolkata/the-pie-chart-tollygunge,"Bakery, Desserts, Burger, Pizza","Tollygunge, Kolkata",6am â€“ 3am (Today),"60/12A, Hari Pada Dutta Lane, Gof Garden, Tollygunge, Kolkata",919331000000,1,1,0,0,-,0,3.9,63,,,,250,22.498636,88.3453908
The 2/7 Lounge,https://www.zomato.com/kolkata/the-2-7-lounge-minto-park,"Italian, Chinese, Continental","Minto Park, Kolkata",Opens at 11am,"2/7, Groud Floor, Vasundhara Building, Sarat Bose Road, Minto Park, Kolkata",919051000000,1,1,1,0,3.6,8,-,0,,,,800,22.541947399999998,88.35471347839723
Healthy Evening Snacks,https://www.zomato.com/kolkata/healthy-evening-snacks-new-alipore,"North Indian, Kebab","New Alipore, Kolkata",,"45 A, Buroshibtala Main Road, New Alipore, Kolkata",916290000000,1,0,0,0,-,0,-,19,,,,150,22.51116475,88.3281116098478
Srividya's Kitchen,https://www.zomato.com/kolkata/srividyas-kitchen-beliaghata,"Bengali, Chinese","Beliaghata, Kolkata",Opens at 11am,"112 E, Dr Suresh Chandra Banerjee Road, Beliaghata, Kolkata",919831000000,1,1,0,0,-,0,-,0,,,,100,22.5506557,88.40391715
Rajwari Haveli Cafe & Restro,https://www.zomato.com/kolkata/rajwari-haveli-cafe-restro-ballygunge,"Chinese, Fast Food, Pizza, Italian, Desserts, Shake, Beverages","Ballygunge, Kolkata",Opens at 12noon,"Floor 1, 33, Lower Range, Beck Bagan, Ballygunge, Kolkata",918821000000,1,1,1,0,-,3,-,3,,,,900,22.5280337,88.3659084
A-1 Kulfi,https://www.zomato.com/kolkata/a-1-kulfi-picnic-garden,"Desserts, Ice Cream","Picnic Garden, Kolkata",,"33C, Near Gabtala Masjid, Picnic Garden, Kolkata",918273000000,1,1,1,0,3.4,9,3.6,86,,,"Best in Service, Hygienic, Served Quickly, Healthy and Delicious, Fresh Food with Good Quality, Mouth Watering Food",200,22.5259951,88.3892586
House Of Dimsums,https://www.zomato.com/kolkata/house-of-dimsums-1-ballygunge,"Thai, Chinese","Ballygunge, Kolkata",,"1/3, Ground Floor, Palm Avenue, Ballygunge, Kolkata",919830000000,1,0,0,0,-,0,3.8,97,,,"Proper Packaging, Great Portions, Timely Service, Good Quality, Food",450,22.5280337,88.3659084
Nibbles,https://www.zomato.com/kolkata/nibbles-hazra,"Mexican, Sandwich, Fast Food","Hazra, Kolkata",Opens at 9:15am,"143/D, Sarat Bose Road, Near Manoharpukur Crossing, Hazra, Kolkata",913340000000,1,1,0,0,-,3,-,7,,,,400,22.5227232,88.3499241
Bake Me Good,https://www.zomato.com/kolkata/bake-me-good-picnic-garden,"Bakery, Desserts, Fast Food","Picnic Garden, Kolkata",,"2, Bedia Danga, 1st Lane, Picnic Garden, Kolkata",919836000000,1,0,0,0,-,0,-,5,,,,100,22.5259951,88.3892586
Epikyoor,https://www.zomato.com/kolkata/epikyoor-kalighat,"Lebanese, Fast Food, Italian","Kalighat, Kolkata",Opens at 10:30am,"206C, SP Mukherjee Road, Kalighat, Kolkata",919124000000,1,1,0,0,-,0,-,7,,,,100,22.5153313,88.3477052
Amritsari Tandoor,https://www.zomato.com/kolkata/amritsari-tandoor-picnic-garden,"North Indian, Chinese","Picnic Garden, Kolkata",,"65, Picnic Garden Road, Triveni Heights, Near Bondel Bridge Signal, Picnic Garden, Kolkata",917044000000,1,0,0,0,-,0,3,194,,,,150,22.5259951,88.3892586
